degree,count
5,12474
6,351
7,279
8,227
9,171
10,149
11,106
12,90
13,77
14,69
15,73
16,56
17,40
18,42
19,40
20,43
21,31
22,28
23,29
24,24
25,25
26,24
27,12
28,15
29,18
30,18
31,9
32,17
33,18
34,11
35,11
36,7
37,15
38,9
39,10
40,11
41,6
42,9
43,4
44,10
45,8
46,8
47,10
48,10
49,4
50,6
51,6
52,5
53,5
54,3
55,5
56,7
57,3
58,3
59,2
60,4
61,1
62,3
63,3
64,3
65,5
66,6
67,4
68,3
69,4
70,1
72,2
73,2
74,3
75,2
76,2
77,4
78,2
79,2
80,5
83,2
84,3
85,1
86,3
87,1
88,2
89,2
90,1
92,4
93,2
94,3
95,6
96,2
97,1
98,2
99,2
100,3
101,2
102,1
103,2
104,3
105,1
107,2
108,1
109,1
110,1
111,1
113,1
115,2
116,1
117,1
118,1
120,2
121,1
123,3
124,1
125,1
126,2
128,1
130,1
137,1
138,1
140,1
141,1
143,1
144,1
148,2
149,2
151,1
152,1
159,2
160,2
161,1
162,1
165,1
167,1
170,1
171,1
172,1
173,1
174,1
175,1
178,2
182,1
184,1
185,1
190,2
191,1
192,1
195,1
196,2
198,1
199,2
205,2
209,1
214,1
217,1
220,1
221,1
223,1
226,1
228,1
232,2
234,1
237,1
247,1
248,1
255,2
266,1
270,1
271,1
272,1
273,1
274,1
275,1
277,1
282,1
284,1
285,1
292,1
294,2
297,1
299,1
305,1
306,1
311,1
312,1
315,1
324,1
325,1
329,2
331,1
338,1
343,1
344,2
345,1
346,1
349,1
365,1
367,1
374,1
395,1
397,1
400,1
406,1
411,1
422,1
423,1
424,1
441,1
444,1
445,1
447,1
455,1
477,1
500,1
537,1
540,1
551,1
590,1
600,1
617,1
651,1
674,1
678,1
708,1
759,1
894,1
908,1
924,1
992,1
1005,1
1057,1
1119,1
