p,Cp,Lp,Tp,rhalf
1,0.00790159,3.26544,3.34635,0.133
0.630957,0.0407321,3.31527,3.42442,0.127
0.398107,0.15738,3.48023,3.30831,0.145
0.251189,0.293591,3.72047,3.68268,0.16
0.158489,0.393316,4.01276,3.82683,0.16
0.1,0.503606,4.50141,4.36336,0.178
0.0630957,0.553101,4.97601,4.998,0.184
0.0398107,0.598899,5.73653,5.58559,0.214
0.0251189,0.628555,6.87813,7.76877,0.22
0.0158489,0.633891,7.25086,7.25425,0.22
0.01,0.651894,9.8487,10.7578,0.232
0.00630957,0.653405,10.4788,9.78178,0.259
0.00398107,0.661589,14.3992,17.01,0.277
0.00251189,0.661742,16.7022,16.6486,0.259
0.00158489,0.664628,24.272,18.995,0.298
0.001,0.665214,32.1113,29.8008,0.286
0.000630957,0.665286,27.3554,31.6777,0.28
0.000398107,0.666108,36.6808,44.7718,0.313
0.000251189,0.666134,48.7652,47.4044,0.307
0.000158489,0.666667,50.4505,50.4505,0.316
0,0.666667,50.4505,50.4505,0.295
